Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
IT Help Desk Technician,2025-11-25,https://jobright.ai/jobs/info/6926497d27bf2f41a2c4501b?utm_source=1100&utm_campaign=Software Engineering,On Site,"Tempe, AZ","Cranial Technologies, Inc.",501-1000,,$40000-$55000 /yr,"1. Experience supporting Windows 10/11.
2. Familiarity with imaging.
3. Setup of new computers as well as break/fix support.
4. Active Directory / Entra ID knowledge.
5. Troubleshooting of network connectivity.
...",no,
Monetization Development Representative,2025-11-25,https://jobright.ai/jobs/info/69264810f0beb07232623b12?utm_source=1100&utm_campaign=Software Engineering,Hybrid,NYC Metro Area,Metronome,101-250,"Billing,Enterprise Software","$90,000-$110,000 /yr","1. Strong technical curiosity with the ability to quickly learn product APIs, workflows, and integration patterns
2. Passion for AI and modern software infrastructure, with genuine excitement about helping companies monetize usage-based offerings
3. Proven track record of building trust with both executives and engineers through exceptional written and verbal communication
4. Comfort with ambiguity and entrepreneurial mindset—if a demo doesn't exist, you'll build it; if a question goes unanswered, you'll figure it out",not sure,
Associate Software Development Engineer,2025-11-25,https://jobright.ai/jobs/info/69264477f0beb07232623928?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Multi Location
Work At Home-North Dakota
Work At Home-South Dakota
Work At Home-Iowa
Work At Home-Mississippi
Work At Home-Missouri
Work At Home-Wyoming
Work At Home-Idaho
Work At Home-West Virginia
Work At Home-Colorado
Work At Home-Louisiana
Work At Home-Alabama
Work At Home-Arizona
Work At Home-Tennessee
Work At Home-Kentucky
Work At Home-Virginia
Work At Home-Wisconsin
Work At Home-Oklahoma
Work At Home-New York
Work At Home-Delaware
Work At Home-Arkansas
Work At Home-Ohio
Work At Home-Minnesota
Work At Home - Utah
Work At Home-Kansas",CVS Health,10000+,"Health Care,Medical",$26.74-$71.30 /hr,"1. 0–2 years of experience in software engineering
2. Strong software engineering fundamentals (data structures, algorithms, object-oriented design)
3. Foundational understanding and demonstrated experience with C#/.NET Core or a similar OOP language (e.g., Java, Python) with a commitment to learn C#, and basic SQL constructs
4. Familiarity with writing and maintaining basic front-end client applications using React or a similar framework
5. Experience with revision control (Git) for basic operations (commit, push, pull, branch)
...",not sure,yes
Associate Technical Services Engineer,2025-11-25,https://jobright.ai/jobs/info/692643f327bf2f41a2c44e9c?utm_source=1100&utm_campaign=Software Engineering,Remote,"Multi Location
United States
United States (Remote)",Unqork,251-500,"Enterprise,Enterprise Applications",$65000-$80000 /yr,"1. 1+ Years in Software Support or Technical Implementation (preferably SaaS or similar)
2. Basic Knowledge of Databases (MongoDB) + JSON + RESTful API
3. Technical Troubleshooting Ability (no-code experience or similar)
4. Experience in Designing, Documenting and Educating new Operational Processes
5. Service Mindset - Customer-focused",not sure,
IT Technician,2025-11-25,https://jobright.ai/jobs/info/692643e527bf2f41a2c44e97?utm_source=1100&utm_campaign=Software Engineering,On Site,"Colorado Springs, CO",Great Wolf Lodge,10000+,Resorts,$22-$22 /yr,"1. Associates degree in IT or related field (or equivalent combination of education/experience)
2. Strong support knowledge of O365, Microsoft Office, network technologies and concepts (TCP/IP, SMTP and Ethernet, Wide Area Networks), desktop/mobile OS and hardware as well as audio/visual support experience
3. Demonstrated proficiency in Microsoft Office suite
4. Successful completion of criminal background check and drug screen",not sure,
Data Engineer,2025-11-25,https://jobright.ai/jobs/info/692643cf27bf2f41a2c44e8d?utm_source=1100&utm_campaign=Software Engineering,On Site,"Somerville, MA",Mass General Brigham,10000+,"Health Care,Home Health Care",$73898.40-$107400.80 /yr,"1. Bachelor’s Degree in Computer Science, Biomedical Engineering, Bioinformatics, Electrical Engineering, Data Science, or a related field.
2. Excellent programming skills in Python, Bash, MATLAB.
3. Superior Linux/Unix skills and comfort with command line programs – the ability to get new programs and packages running, overcoming hurdles as they arise, is particularly helpful.
4. Familiarity with standard software evolution method—version controlling (Git), pull requests, code reviews, issue and release management.
5. Ability to work in an interdisciplinary, diverse, and international team in a highly collaborative and intellectually challenging environment.
...",not sure,
Analista BI,2025-11-25,https://jobright.ai/jobs/info/69264329d47de4798ecd5f4b?utm_source=1100&utm_campaign=Software Engineering,On Site,Greater São Paulo Area,Concentrix,10000+,"Customer Service,Information Technology","R$5500,00-R$5500,00 /yr","1. 1-2 anos de experiência com análise e preparação de dados, incluindo experiência com conjuntos de dados médios
2. Pacote Office Avançado (ênfase em Excel e Access)
3. Experiência com processos de ETL, ELT e ETL Reverso
4. Experiência prática com uso básico/Intermediário de linguagem SQL, SQL Server (preferencial)
5. Alguma Experiência prática em alguma ferramentas de visualização de dados como: Power BI, Tableau, Locker, etc",not sure,
Application Support Engineer,2025-11-25,https://jobright.ai/jobs/info/690e8770d046ab6061cfe916?utm_source=1100&utm_campaign=Software Engineering,Remote,"Multi Location
Utah, United States
Portland, OR
Oregon, United States
California, United States",Cvent,,"Finance,Financial Exchanges",$85K-$120K /yr,"1. BS in Computer Science, Information Systems or equivalent major with strong academic performance
2. Excellent problem solving and analytical skills.
3. Understanding of relational databases and how to query data using SQL.
4. Working knowledge of HTML/CSS.
5. Understanding of the Software Development Life Cycle.
...",no,
Power BI & SharePoint Developer,2025-11-25,https://jobright.ai/jobs/info/6926410ed47de4798ecd5e0e?utm_source=1100&utm_campaign=Software Engineering,On Site,"Herndon, VA",Akima,5001-10000,"Construction,Consulting",$80K-$90K /yr,"1. 1 year Power BI experience required; 3 years desired.
2. 1 year SharePoint experience required; 3 years desired.
3. Required experience/certifications: SharePoint Online GCC.
4. Required experience/certifications: Sharegate.
5. Required experience/certifications: PL-300 (Power BI Data Analyst).
...",not sure,
Regional Operations Specialist in Texas,2025-11-25,https://jobright.ai/jobs/info/69263ffd27bf2f41a2c44c52?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Austin, TX",Western Union,5001-10000,"Financial Exchanges,Financial Services",$65K-$80K /yr,"1. Fluency in English is required.
2. Valid Driver’s License and a reliable vehicle are required as this position requires regular travel within a defined territory.
3. Tech-Savvy: You’re great with IT systems, cloud solutions, networking, and web hosting.
4. Software Wizard: You know your way around business tools like Power BI, ARC+, Snowflake, ServiceNow, SPLUNK and you can troubleshoot without breaking a sweat.
5. Customer service skills: You work well with clients and have great communication skills.
...",not sure,
Desktop Support Specialist Associate,2025-11-25,https://jobright.ai/jobs/info/69263ff0f0beb072326237a1?utm_source=1100&utm_campaign=Software Engineering,On Site,"Ann Arbor, MI",University of Michigan Information and Technology Services,251-500,,$49000-$51000 /yr,"1. Bachelor's degree, preferably in computer science, business computing or a related field or equivalent combination of education, certification, and experience
2. Minimum 1 year working in a role providing end user technical support
3. Proficiency supporting Windows and/or Mac operating systems, mobile devices, and common business productivity applications (e.g. Google Workspace, Microsoft 365, etc.)
4. Ability to perform day-to-day administration tasks, troubleshooting, root-cause analysis, and service restoration
5. Excellent customer service skills.
...",not sure,
IT Specialist (Hybrid-Remote),2025-11-25,https://jobright.ai/jobs/info/69263f1527bf2f41a2c44bce?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Multi Location
Fayetteville, NC
Fayetteville Office",The Geneva Foundation,251-500,"Clinical Trials,Education",$68000-$78000 /yr,"1. Bachelor’s degree or equivalent work experience
2. Strong technical knowledge of server and workstation operating systems (Microsoft Windows Server 2022, Windows 10/11)
3. Proven oral and written communication skills
4. Proficiency in Microsoft Office Suite, web browsers, antivirus software, remote access tools, and Adobe applications
5. Must be organized, detail-oriented, and professional in demeanor
...",not sure,
Software Engineer II Applications,2025-11-25,https://jobright.ai/jobs/info/692621e227bf2f41a2c43a21?utm_source=1100&utm_campaign=Software Engineering,On Site,"San Diego, CA",Brain Corp,101-250,"Artificial Intelligence (AI),Autonomous Vehicles",$130000-$130000 /yr,"1. BS or MS in Computer Science or applicable engineering discipline
2. 1-3 years of demonstrated experience in software development for complex function-based software that interacts with sensor inputs, control loops and redundancy
3. Demonstrated proficiency with OO C++ and/or Python production level coding
4. Curiosity to gain subject matter expertise in specific functional areas while keeping aware of the larger landscape of customer use case and value
5. Excellent technical and analytical skills
...",not sure,
Desktop Support Specialist Associate,2025-11-25,https://jobright.ai/jobs/info/69263ca2f0beb072326235bd?utm_source=1100&utm_campaign=Software Engineering,On Site,"Ann Arbor, MI",University of Michigan-Flint School of Management,11-50,,$49000-$51000 /yr,"1. Bachelor's degree, preferably in computer science, business computing or a related field or equivalent combination of education, certification, and experience
2. Minimum 1 year working in a role providing end user technical support
3. Proficiency supporting Windows and/or Mac operating systems, mobile devices, and common business productivity applications (e.g. Google Workspace, Microsoft 365, etc.)
4. Ability to perform day-to-day administration tasks, troubleshooting, root-cause analysis, and service restoration
5. Excellent customer service skills.
...",not sure,
"Software Engineer, PCBA (Starlink)",2025-11-25,https://jobright.ai/jobs/info/69263bbed47de4798ecd5c5f?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Redmond, WA",SpaceX,10000+,"Advanced Materials,Aerospace",$122500-$145000 /yr,"1. Bachelor's degree in computer science, engineering, math, or scientific discipline
2. 1+ years of experience in full stack development discipline
3. Must be willing to work extended hours and weekends as needed
4. This position is based in Redmond, WA (Seattle area), and requires being onsite full-time – hybrid and remote work will not be considered",no,
Technical Support Specialist Associate - Aerial Lift Equipment,2025-11-25,https://jobright.ai/jobs/info/69263b26d47de4798ecd5c15?utm_source=1100&utm_campaign=Software Engineering,Remote,"Multi Location
Remote, Pennsylvania, United States
Remote, United States",Oshkosh Corporation,10000+,"Automotive,Industrial","$50,400-$77,200 /yr",1. High School Diploma or GED and one (1) or more years of relevant experience or an equivalent combination of education and experience that demonstrates the ability to perform the essential functions of the role.,not sure,
Operations Analyst,2025-11-25,https://jobright.ai/jobs/info/69263a9127bf2f41a2c44958?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Pittsburgh, PA",Waabi,101-250,"Artificial Intelligence (AI),Automotive",$90000-$120000 /yr,"1. Familiarity with project lifecycles, collaborating effectively with partners, project managers, annotators and engineers.
2. Excellent communication skills, both written and verbal, with the ability to articulate technical concepts clearly and provide recommendations based on findings.
3. Ability to thrive in a fast paced environment, showcasing adaptability to evolving project dynamics and priorities.
4. Ability to communicate complex concepts or data in a simple yet accurate manner.
5. Excellent data analysis skills.",not sure,
Jr Data Center Technician,2025-11-25,https://jobright.ai/jobs/info/69263a13f0beb07232623491?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Las Vegas, NV, United States
Las Vegas, NV",BGIS,10000+,"Real Estate,Real Estate Investment",$23-$24 /hr,"1. Minimum of 1 year of experience with IT and networking systems, in a technical or operations capacity or equivalent work experience.
2. Demonstrate proficiency with software tools such as Microsoft Office.
3. Demonstrate proficiency with computer server hardware systems running Windows or UNIX/Linux operating systems.
4. Show basic understanding of network hardware equipment and TCP/IP networking principles.
5. Work collaboratively with customers, colleagues, and other service providers to plan and execute tasks.
...",not sure,
"DL System Software Engineer, AI Platform - New College Graduate 2025",2025-11-25,https://jobright.ai/jobs/info/6926353e27bf2f41a2c44779?utm_source=1100&utm_campaign=Software Engineering,On Site,"US, CA, Santa Clara",NVIDIA,10000+,"Artificial Intelligence (AI),GPU","$120,000-$189,750 /yr","1. Bachelor's degree or equivalent experience in Computer Science, Computer Engineering, relevant technical field.
2. Experience building large scale systems from scratch.
3. Prior experience in container-based deployment systems like Kubernetes is beneficial.
4. Strong coding skills in programming languages like Python, Go, Rust and/or C/C++.
5. Solid foundation in other computer science and computer engineering topics: algorithms and data structures, operating systems, computer architecture, etc.
...",not sure,yes
Junior Test Specialist,2025-11-25,https://jobright.ai/jobs/info/6926512127bf2f41a2c453b6?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Multi Location
Sierra Vista, AZ
Fort Huachuca, AZ","T-Rex Solutions, LLC",101-250,"Information Technology,IT Management",$35000-$50000 /yr,"1. Associate's Degree in Information Technology or a related field with 1+ years of professional experience OR a High School Diploma or GED equivalent with 4+ years of professional experience
2. This position requires an active or Interim Secret security clearance on hire date or the ability to obtain one.
3. Skills to write test procedures and review test data to ensure that hardware is tested properly and has passed all required tests.
4. General understanding of manual and automated test execution processes.
5. Excellent communications skills, including verbal, written and presentation skills with the ability to write and present complex issues in a clear, concise, and easily understood manner
...",no,
Cybersecurity – Information System Security Officer (ISSO),2025-11-25,https://jobright.ai/jobs/info/692630daf0beb07232622fc2?utm_source=1100&utm_campaign=Software Engineering,On Site,"Annapolis Junction, MD",Boeing,1001-5000,"Aerospace,Industrial",$107100-$144900 /yr,"1. Successfully completed Tier 5 Investigation (T5), formerly known as a Single Scope Background Investigation (SSBI) by the federal government within the last 5 years, or requires candidate to have been enrolled in a Continuous Vetting program within the last 5 years
2. IAM Level 1 DoD 8140.01 (previously 8570.01) compliant certification (i.e. CAP, GSLC, Security+ CE, CISSP, CASP, CISM)
3. 1+ years of experience with cyber security policies and implementation of Risk Management Framework (RMF): e.g. DAAPM, CNSSI 1253, ICD-503, JSIG, and/or NIST SP 800 series
4. Active Counter-Intelligence Polygraph with the ability to obtain a Full Scope Polygraph
5. This position requires an active Top Secret/Sensitive Compartmented Information (TS/SCI) U.S. Security Clearance with an adjudicated Counterintelligence or Full Scope Polygraph (U.S. Citizenship Required). (A U.S. Security Clearance that has been active in the past 24 months is considered active.)",no,
"Data Center Technician, SFO - DCO",2025-11-25,https://jobright.ai/jobs/info/692630c5d47de4798ecd558e?utm_source=1100&utm_campaign=Software Engineering,On Site,"Santa Clara, California, USA",Amazon,10000+,"Delivery,E-Commerce","$50,600-$113,200 /yr","1. 1+ years of computer hardware troubleshooting and repair experience
2. 1+ years of computer networking experience
3. High school or equivalent diploma",no,
