Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
Change Management Associate,2025-11-25,https://jobright.ai/jobs/info/69264f5c27bf2f41a2c452ed?utm_source=1100&utm_campaign=Human Resources,On Site,"Multi Location
St Louis, MO
St. Louis, MO",Focus Financial Partners,501-1000,"Asset Management,Finance",$80000-$95000 /yr,"1. Exceptional writing and verbal communication skills.
2. Strong attention to detail and organizational skills.
3. Ability to collaborate effectively across teams.
4. Proficiency in Microsoft Office and collaboration platforms (e.g., Teams, SharePoint). Ability to learn new platforms
5. A genuine interest in change management and employee engagement.",not sure,
"Human Resources Administrator - Charleston, SC",2025-11-25,https://jobright.ai/jobs/info/69264e0227bf2f41a2c45238?utm_source=1100&utm_campaign=Human Resources,On Site,"Multi Location
Charleston, SC
Corporate Office",Walden Security,5001-10000,"Information Technology,Security",$20-$20 /hr,"1. High school diploma or general education degree (GED); or one to two years related experience and/or training; or equivalent combination of education and experience.
2. Ability to read and interpret documents such as safety rules, operating and maintenance instructions, and procedure manuals.
3. Ability to write routine reports and correspondence.
4. Ability to speak effectively before groups of customers or employees of organization.
5. Ability to calculate figures and amounts with basic addition, subtraction, multiplication and division with accuracy.
...",not sure,
People Operations Coordinator - Temporary,2025-11-25,https://jobright.ai/jobs/info/6926497e27bf2f41a2c4501c?utm_source=1100&utm_campaign=Human Resources,Remote,USA,NVA General Practice,1001-5000,"Hospital,Medical",$24-$28 /hr,"1. Detail-oriented and adaptable professional
2. Ability to quickly learn processes
3. Effective communication across multiple channels
4. Tech-savvy
5. Ability to pivot quickly in a dynamic environment
...",not sure,
ASSISTANT CASE MANAGER (“CASE AIDE”),2025-11-25,https://jobright.ai/jobs/info/69264787f0beb07232623abb?utm_source=1100&utm_campaign=Human Resources,On Site,"Douglas, AK",Arizona Department of Child Safety,501-1000,"Children,Government",$17.34-$17.34 /hr,"1. High school diploma or GED
2. Valid issued driver’s license
3. Must be able to obtain and maintain a valid Arizona Department of Public Safety Level One Fingerprint Clearance Card
4. Selected candidates must be able to pass a written exam, background investigation, Motor Vehicle Report check and DCS Central Registry check
5. All newly hired State employees are subject to and must successfully complete the Electronic Employment Eligibility Verification Program (E-Verify)",not sure,
People Operations Coordinator - Temporary,2025-11-25,https://jobright.ai/jobs/info/692646bbd47de4798ecd6143?utm_source=1100&utm_campaign=Human Resources,Remote,United States,NVA General Practice,1001-5000,"Hospital,Medical",$24.04-$28.85 /hr,"1. Detail-oriented and adaptable professional
2. Ability to quickly learn processes
3. Effective communication across multiple channels
4. Tech-savvy
5. Ability to pivot quickly in a dynamic environment
...",not sure,
Administrative Associate - Nash Correctional,2025-11-25,https://jobright.ai/jobs/info/69264685f0beb07232623a3b?utm_source=1100&utm_campaign=Human Resources,On Site,NC,State of North Carolina,10000+,Government,$28K-$49K /yr,"1. High school or General Educational Development (GED) diploma
2. One year of administrative experience
3. Knowledge of the office or work unit policies and procedures in order to communicate information involving programs, functions, and services
4. Preparation of documents and reports, composition of memos and letters, the use of office technology, compiling records, organizing and maintaining files, posting information, greeting, referring, assisting visitors, clients, staff, and others, mail distribution, and photocopying
5. Recruitment, payroll, state employee benefits, workers compensation, retirement, and other areas within human resources",not sure,
"Coordinator, Human Resources",2025-11-25,https://jobright.ai/jobs/info/6926455af0beb072326239b3?utm_source=1100&utm_campaign=Human Resources,On Site,"Needham, MA",NBCUniversal,10000+,"Broadcasting,Media and Entertainment",$55000-$65000 /yr,"1. Bachelor’s degree or equivalent experience
2. 1+ year of HR or related experience",not sure,
Talent Acquisition Specialist - Chicago,2025-11-25,https://jobright.ai/jobs/info/69263fef27bf2f41a2c44c46?utm_source=1100&utm_campaign=Human Resources,Hybrid,Chicago,Zen Educate,101-250,"EdTech,Education",$46500-$51000 /yr,"1. Confidence on the phone and ability to build rapport with candidates
2. Someone who thrives in a high-performing, goal-oriented environment
3. A growth mindset, with a commitment to learning and developing new skills
4. Independent and self-motivated, and able to remain resilient through the challenges of a startup environment
5. Strong written and oral communication skills
...",not sure,
Employment Development Specialist - TANF Program,2025-11-25,https://jobright.ai/jobs/info/69263cc7f0beb072326235d3?utm_source=1100&utm_campaign=Human Resources,On Site,"Multi Location
Charlottesville, VA
Charlottesville-VA",ServiceSource,1001-5000,"Assistive Technology,Customer Service",$20.25-$20.25 /hr,"1. High school diploma or General Educational Development (GED) required.
2. Minimum one (1) year of related human service experience required.
3. Valid driver’s license and/or access to reliable transportation to perform local work-related travel 50% of the time.
4. Eligible drivers must have a good motor vehicle record (MVR).
5. Availability and willingness to travel to multiple locations in the broader local area, at times with little notice required.
...",not sure,
"Analyst, People Analytics & Reporting",2025-11-25,https://jobright.ai/jobs/info/69263ca1f0beb072326235bc?utm_source=1100&utm_campaign=Human Resources,On Site,"Englewood Cliffs, NJ",NBCUniversal,10000+,"Broadcasting,Media and Entertainment",$65000-$80000 /yr,"1. Bachelor’s Degree in business, computer science, psychology, other related degree with a focus on data analysis/critical thinking or equivalent experience
2. 1+ year of experience in data handling (e.g. report writing, data analysis, research, etc.) and using SAP Business Objects or related data warehouse reporting tools
3. Experience providing SAP Business Objects or related data warehouse system support (e.g. troubleshooting, testing, etc.)
4. Proficiency with Microsoft Office Suite, including Excel and PowerPoint",not sure,
HR Coordinator,2025-11-25,https://jobright.ai/jobs/info/690e7fb9221b890c2780eae5?utm_source=1100&utm_campaign=Human Resources,On Site,New York City,FanDuel,1001-5000,"Fantasy Sports,Gaming",$29.33-$36.54 /hr,"1. Minimum 1 + of Human Resources related experience preferred
2. Ability to organize, prioritize, meet deadlines, make decisions, and change course of action quickly
3. Strong written and verbal communication, interpersonal skills, and ability to build relationships
4. Detail-oriented with the ability to maintain professionalism under pressure
5. Technically savvy with specific experience using Excel, Outlook, and PowerPoint
...",not sure,
Fire/Life Safety Service Operations Supervisor,2025-11-25,https://jobright.ai/jobs/info/69265887f0beb0723262431f?utm_source=1100&utm_campaign=Human Resources,On Site,"Norfolk, VA",Siemens,10000+,"Artificial Intelligence (AI),Consulting",$69K-$118K /yr,"1. High School Diploma or state-recognized GED
2. 1+ years of experience as a specialist or technician in the commercial Fire Alarm Systems industry
3. Must complete NICET Level II Fire Alarm Certification within 12 months
4. Experience using Microsoft Office, excellent communication and organizational skills
5. Must be 21 years of age and possess a valid driver's license with limited violations
...",no,
"Program Coordinator, Winn Career Development Award (CDA)",2025-11-25,https://jobright.ai/jobs/info/692635fcf0beb07232623225?utm_source=1100&utm_campaign=Human Resources,Hybrid,"Richmond, VA",VCU Massey Comprehensive Cancer Center,251-500,"Clinical Trials,Education","$55,000-$55,000 /yr","1. Bachelor’s degree or higher.
2. 1-3 years related program coordination experience required.
3. Equivalent education or experience may substitute for stated requirements.
4. Ability to balance, negotiate, and interact effectively with others, work independently, and multi-task to accomplish all work in a timely manner.
5. Excellent written and oral communications, including timely, accurate writing, editing, and collaborative work on documents.
...",not sure,
Student Recruiter,2025-11-25,https://jobright.ai/jobs/info/692635cfd47de4798ecd58df?utm_source=1100&utm_campaign=Human Resources,On Site,"Minneapolis, MN",Hope Academy (Minneapolis),251-500,,$50000-$54000 /yr,"1. Associate degree or higher in Education or closely related area.
2. Bilingual in Spanish and English.
3. Recruitment experience in education, vocational or non-profit setting.
4. Must be able to demonstrate effective public relations / public speaking skills.
5. Demonstrate diversity awareness and utilizes sourcing techniques that reach diverse population.
...",not sure,
Admissions Representative,2025-11-25,https://jobright.ai/jobs/info/6926359ff0beb072326231fd?utm_source=1100&utm_campaign=Human Resources,On Site,"Norfolk, VA",Centura College,1001-5000,,$24-$24 /hr,"1. High School Diploma or GED, or equivalent on-the-job experience.
2. Excellent interpersonal and written communication skills, with the ability to engage and connect with diverse individuals.
3. Strong multi-tasking and time management abilities to effectively prioritize tasks and meet deadlines in a fast-paced environment.
4. Results-oriented, quick-thinking, and organized approach to problem-solving and achieving goals.
5. Proven experience in sales or customer service, demonstrating the ability to build relationships and close opportunities.
...",not sure,
Operations Trainer - Translator,2025-11-25,https://jobright.ai/jobs/info/6926337cd47de4798ecd577a?utm_source=1100&utm_campaign=Human Resources,On Site,"Le Sueur County, MN",Agropur,5001-10000,Industrial,$23.01-$23.01 /hr,"1. Ability to speak, read, and write fluent English and Spanish required.
2. Effectively present information in one-on-one and small group situations to management and coworkers.
3. High level of interpersonal skills to handle sensitive and confidential situations and documentation.
4. Exhibit a professional manner in dealing with others and work to maintain constructive working relationships.",not sure,
Human Resources Generalist,2025-11-25,https://jobright.ai/jobs/info/69262c89f0beb07232622c9a?utm_source=1100&utm_campaign=Human Resources,On Site,"Anacortes, WA","SUGIYO USA, Inc.",101-250,"Food and Beverage,Retail",$41-$41 /hr,"1. Demonstrated skills, knowledge and experience to perform position functions above using Microsoft 365 Office applications ERP and HRIS software.",not sure,
Market Recruiter,2025-11-25,https://jobright.ai/jobs/info/69262aa1d47de4798ecd528f?utm_source=1100&utm_campaign=Human Resources,Hybrid,"Eagan, MN",Cellular Sales,11-50,,K55K-K70K /yr,"1. 1+ years’ experience as a sales 'producer' or recruiting 'champion'.
2. Exceptional communication, interpersonal, and decision-making skills.
3. Knowledge of internet search, campus recruiting, talent canvassing, and MS Office is a plus.
4. Familiarity with job boards and databases management.
5. The candidate must show problem solving skills and must be results oriented, high energy, and self-motivated.
...",not sure,
"Human Resources Generalist, Training and Employee Relations",2025-11-25,https://jobright.ai/jobs/info/692629a8d47de4798ecd51c8?utm_source=1100&utm_campaign=Human Resources,Hybrid,"Minneapolis, MN",Celcuity,51-100,"Biotechnology,Health Care",$90K-$115K /yr,"1. Bachelor’s degree in Human Resources, Business Administration, or a related field.
2. One to four (1-4) years of experience in a generalist or related HR role.
3. Proven experience in employee relations and investigations.
4. Experience with training program coordination and delivery.
5. Strong knowledge of federal, state, and local employment laws.
...",not sure,
Assistant Dental Office Manager,2025-11-25,https://jobright.ai/jobs/info/69262980f0beb07232622a34?utm_source=1100&utm_campaign=Human Resources,On Site,"Multi Location
Kenner, LA
Columbus, OH
Valdosta, GA
Frankfort, KY
Dayton, OH
San Antonio, TX
Williamsport, PA
Port Orange, FL
McHenry, IL
St Joseph, MO
Jacksonville, FL
Selinsgrove, PA
St Charles, MO",Aspen Dental,10000+,"Dental,Health Care",$18-$20 /hr,"1. Provide superior patient service with compassion and care in accordance with patient needs, company policies and procedures, government regulations, and dental board standards
2. Work collaboratively with other members of the dental team to provide exceptional patient care
3. Consult with patients on treatment options provided by clinical team, verifying insurance payment and collection ensuring high quality of care
4. Under the direction of the Manager, supervise and reinforce the daily tasks and priorities of the non-clinical team
5. Review data day to day to evaluate the impact on the practice
...",not sure,
"Administrative Assistant/Specialty Clinics (40 hr, Day)",2025-11-25,https://jobright.ai/jobs/info/6926280fd47de4798ecd5089?utm_source=1100&utm_campaign=Human Resources,On Site,"Multi Location
Needham, MA
Beth Israel Deaconess Hospital Needham",Beth Israel Lahey Health,10000+,"Elder Care,Health Care",$20-$26.92 /hr,"1. High School diploma or GED required.
2. 0-1 years related work experience required.
3. Ability to work independently with minimal supervision.
4. Exhibits excellent customer service.
5. Experience with computer systems required, including web based applications and some Microsoft Office applications which may include Outlook, Word, Excel, PowerPoint or Access.",not sure,yes
Bilingual Disability Calculation Analyst,2025-11-25,https://jobright.ai/jobs/info/69264983d47de4798ecd62be?utm_source=1100&utm_campaign=Human Resources,On Site,"Multi Location
Toronto, Ontario, Canada
CAN, Ontario - Full Time Remote",Manulife,10000+,"Finance,Financial Services",CAD38250-CAD63750 /yr,"1. Excellent communication skills oral and written in French and English is required.
2. Post-secondary education in Accounting, Commerce or Finance.
3. Experience with accounting, finance, payroll, bookkeeping, benefit payment or related duties in an administrative/clerical role would be an asset however University / College graduates would also be considered.
4. Proficiency in MS Word, Excel and Outlook / Office 365
5. Knowledge of medical terminology and/or insurance terminology would be an asset
...",not sure,
People & Culture Coordinator,2025-11-25,https://jobright.ai/jobs/info/692626aed47de4798ecd4f7f?utm_source=1100&utm_campaign=Human Resources,On Site,"Burnaby, British Columbia, Canada",Daiya Foods Inc,51-100,"Agriculture,E-Commerce","$55,000-$64,000 /yr","1. Post-secondary education in HR, Business Administration, or a related field.
2. 1–3 years of experience in HR coordination, administration, or relevant corporate support roles.
3. Strong working knowledge of HR systems (e.g., Dayforce, Workday), reporting tools, AdobeSuite, and Microsoft Office/365 environment.
4. Exceptional attention to detail with a commitment to accuracy, confidentiality, and process discipline.
5. Strong communication skills — clear, professional, and customer-centric.
...",not sure,
Talent Coordinator,2025-11-25,https://jobright.ai/jobs/info/69262654f0beb0723262281a?utm_source=1100&utm_campaign=Human Resources,Remote,United States,Steno,251-500,"Document Management,Legal",$27-$32 /hr,"1. Passionate, detail-oriented, and forward-thinking talent coordinator.
2. Ability to promote the experience of both candidates and internal hiring teams.
3. Coordinate interview scheduling, ensuring efficient and timely communication with candidates and interviewers.
4. Work closely with Hiring Managers to understand their needs and preferences.
5. Support the candidate experience by providing timely updates, guidance, and a hospitality mindset throughout the interview process.
...",not sure,
"Recruitment and Development Coordinator - Ag View FS - Princeton, IL",2025-11-25,https://jobright.ai/jobs/info/692625e5f0beb072326227a6?utm_source=1100&utm_campaign=Human Resources,On Site,"Princeton, IL",Ag View FS,51-100,,$55K-$65K /yr,"1. Normally requires a bachelor’s degree in human resources, business, or a related field with 1-3 years of relevant experience.
2. Must have proven work experience in candidate sourcing or similar.
3. Proven evaluation and decision-making skills.
4. Ability to provide talent acquisition services.
5. Ability to maintain absolute confidentiality.
...",not sure,
Loss Prevention Employee,2025-11-25,https://jobright.ai/jobs/info/692625af27bf2f41a2c43ce1?utm_source=1100&utm_campaign=Human Resources,On Site,Seafire Resort & Spa,Kimpton Hotels & Restaurants,5001-10000,"Hospitality,Restaurants",$10-$12.50 /hr,"1. A minimum of 1 year of previous experience in a security officer position is required, preferably in a luxury hotel environment.
2. Fluent in English with the ability to write reports.
3. High school diploma required.
4. Ability to effectively present information, complete daily reports, and respond to questions from leaders, guests, and the general public in English.
5. Must have First Aid and CPR certifications to fulfill local licensing requirements.
...",not sure,
Compensation HR Specialist,2025-11-25,https://jobright.ai/jobs/info/6926256df0beb07232622742?utm_source=1100&utm_campaign=Human Resources,On Site,Plaza 349,Salt Lake City Corporation,1001-5000,"Government,Non Profit",$58000-$68000 /yr,"1. Graduation from high school or equivalent plus four years of increasingly responsible technical HR and/or program coordination experience. Education may be substituted for experience up to two years.
2. Graduation from high school or equivalent plus three years of increasingly responsible equivalent to HR Technician. Education may be substituted for experience up to two years.
3. Graduation from high school or equivalency and one to two years related experience. Relevant experience includes working in customer service, records management, data entry and retrieval from computer terminals, and the use of personal computers to do word processing or spreadsheets. Education may be substituted for experience.
4. Strong knowledge of and ability to apply principles and practices of assigned human resources functions.
5. Ability to perform duties under general supervision according to established guidelines and with a high degree of independence.
...",not sure,
Resource Administrator - Peterborough,2025-11-25,https://jobright.ai/jobs/info/6926253c27bf2f41a2c43c83?utm_source=1100&utm_campaign=Human Resources,On Site,"Peterborough, Ontario, Canada",CBI Home Health NS,501-1000,"Health Care,Hospital","$35,100-$42,900 /yr","1. You hold a high school diploma or equivalency
2. You have 1 to 2 years of experience in an administrative or customer service role
3. You have intermediate to advanced proficiency using Microsoft Office (Excel, Outlook)
4. You have exceptional interpersonal and communication skills with a focus on confidentiality, privacy and discretion
5. You are results oriented with effective problem-solving skills
...",not sure,
Engagement Associate at MIT Hillel (Temporary Full-Time Spring 2026),2025-11-25,https://jobright.ai/jobs/info/690bf4934a1b456627b14ac6?utm_source=1100&utm_campaign=Human Resources,On Site,"Boston, Massachusetts, United States",Queens Hillel,1-10,,$46000-$50000 /yr,"1. 0 -3 years professional work experience
2. Bachelor's degree
3. This is an in-person role location in Cambridge, MA; remote work is not available for this position
4. Ability to connect to students -- no matter how quiet or loud they are, what their Jewish knowledge is, what their political stances, and what they think they know about Hillel.
5. Strong entrepreneurial spirit. Things may not always go according to plan and you must be willing to take risks and learn from your wins as well as your losses.
...",not sure,yes
Workforce Management Coordinator (Overnight/Weekends),2025-11-25,https://jobright.ai/jobs/info/691cb53aff70244984169925?utm_source=1100&utm_campaign=Human Resources,On Site,"Multi Location
New York City
Orlando
Atlanta",FanDuel,1001-5000,"Fantasy Sports,Gaming",$20.19-$25 /hr,"1. 1+ years of experience in a contact center environment
2. 1+ years of previous experience in a Workforce Management role as a Real Time Analyst preferred
3. Prior experience working with a WFM software solution
4. Functional knowledge of Salesforce or similar call management system(s)
5. Proven experience with NICE IEX or other WFM platform
...",not sure,
Youth Employment Specialist,2025-11-25,https://jobright.ai/jobs/info/69262147f0beb07232622582?utm_source=1100&utm_campaign=Human Resources,Hybrid,"Port St Lucie, FL",employU,51-100,"Employment,Non Profit",$39000-$49000 /yr,"1. High School diploma required
2. Open availability required: must be available during days, evenings and weekends to work around students' school schedule
3. Ability to pass a level 2 background check
4. Must have reliable transportation, a valid driver’s license, auto registration, auto insurance coverage-minimum (bodily injury $50,000 per person/$100,000 per accident)
5. Confidentiality and the ability to manage multiple deadlines is required
...",not sure,
HR Coordinator,2025-11-25,https://jobright.ai/jobs/info/6926209127bf2f41a2c4393e?utm_source=1100&utm_campaign=Human Resources,On Site,"St Cloud, MN",Quanex,5001-10000,"Building Material,Manufacturing",$62K-$65K /yr,"1. Associate’s degree or experience in lieu of education
2. Experience working in a fast-paced, complex, multi-site business environment
3. Strong skills using MS Office and HRIS Systems such as UKG.
4. Must have previous experience reporting and HRIS analytics.
5. Ability to work with a wide range of sensitive and confidential information",not sure,
Employment Specialist,2025-11-25,https://jobright.ai/jobs/info/69261f8027bf2f41a2c4389d?utm_source=1100&utm_campaign=Human Resources,Hybrid,"Port St Lucie, FL",employU,51-100,"Employment,Non Profit",$60000-$70000 /yr,"1. High School diploma required
2. Open availability required: must be available during days, evenings and weekends
3. Ability to pass a level 2 background check
4. Must have reliable transportation, a valid driver’s license, auto registration, auto insurance with minimum coverage of bodily injury $50,000 per person/$100,000 per accident
5. Confidentiality and the ability to manage multiple deadlines is required
...",not sure,
Career Advisor – Choices/SNAP,2025-11-25,https://jobright.ai/jobs/info/691e5783a49a885af9a27d53?utm_source=1100&utm_campaign=Human Resources,On Site,"Multi Location
Denton, Texas, United States
Plano, TX",Career Team,251-500,,"$45,000-$55,000 /yr","1. Bachelor’s degree in a related field and 1-2 years of work experience or a satisfactory equivalent of education and experience
2. Strong communication skills and knowledge about community resources
3. Possess strong analytical and problem-solving skills, with the ability to make well-thought-out decisions
4. Able to work with and relate to participants and be culturally sensitive
5. Must be computer literate and have MS Applications (Word, Excel, and Outlook) skills at minimum, and the ability to learn specialized databases and software systems
...",not sure,
Hiring Experienced Claims Adjusters - $85000 starting salary,2025-11-25,https://jobright.ai/jobs/info/69261e9b27bf2f41a2c43821?utm_source=1100&utm_campaign=Human Resources,Hybrid,"Jonesboro, AR",Legacy Restoration,51-100,"Building Maintenance,Construction",$85000-$150000 /yr,"1. 1+ years of experience as a Property Claims Adjuster, 3rd Party Inspector, or field-experienced professional
2. Flexible working schedule as Adjuster meetings and inspections often depend on adjuster availability and homeowner schedules, which may require occasionally working evenings and Saturdays
3. Valid driver's license with a clean Motor Vehicle Record
4. Reliable transportation capable of hauling a ladder
5. Ability to set up and climb ladders, inspect steep (8/12 and above) and multi-story roofs, and safely navigate exterior environments
...",not sure,
Talent Acquisition Specialist,2025-11-25,https://jobright.ai/jobs/info/69261df2d47de4798ecd4b2d?utm_source=1100&utm_campaign=Human Resources,On Site,"McKees Rocks, PA",Partners For Quality,501-1000,"Non Profit,Office Administration",$50000-$55000 /yr,"1. High School Diploma (or GED) and three (3) years recruiting experience or relevant experience in the field
2. Must have proficient computer skills
3. Must have good customer service, interpersonal skills and organization skills
4. Ability to work in a team environment and participate as an active team member
5. Valid Driver’s License and use of vehicle
...",not sure,
Job Developer,2025-11-25,https://jobright.ai/jobs/info/69261d87d47de4798ecd4af5?utm_source=1100&utm_campaign=Human Resources,On Site,"New York, NY",The Fedcap Group,1001-5000,"Charity,Health Care",$55000-$55000 /yr,"1. Bachelor’s Degree in Human Services, Social Work, Education, or a related field; or equivalent combination of education and experience.
2. Minimum 1 year’s experience in recruitment, job placement, or workforce development within a nonprofit or similar environment.",not sure,
Work from Home Case Manager,2025-11-25,https://jobright.ai/jobs/info/69260498d47de4798ecd398f?utm_source=1100&utm_campaign=Human Resources,Remote,United States,Miller Family Agency,11-50,,$32K-$200K /yr,"1. Must be a US Citizen or have Permanent Residency
2. A self-motivated, disciplined, and goal-oriented individual
3. Strong desire to succeed, grow, and make an impact
4. Comfortable working independently without micromanagement
5. Someone who thrives in a fast-paced, performance-driven environment",no,
Human Resources Assistant,2025-11-25,https://jobright.ai/jobs/info/69261d3e27bf2f41a2c43768?utm_source=1100&utm_campaign=Human Resources,On Site,"Ontario, CA",Prime Healthcare,10000+,"Health Care,Hospital",$21-$28 /hr,"1. Must speak, read, and write English with the ability to compose correspondence displaying good command of the English language.
2. General office and/or Personnel related experience is required",not sure,
Human Resources Specialist - Leave,2025-11-25,https://jobright.ai/jobs/info/69261d28f0beb072326222ff?utm_source=1100&utm_campaign=Human Resources,On Site,"Charlotte, NC",City of Charlotte,5001-10000,"Government,Non Profit",$24-$29.81 /hr,"1. High School Graduate or Equivalent with one (1) year of related experience
2. OR Associate’s Degree
3. Understanding of HR policies, employment law, and best practices related to employee leave administration.
4. Demonstrated experience managing end-to-end leave cases, including eligibility determinations, documentation review, compliance tracking, and employee/manager communication.
5. Ability to handle complex ADA interactive processes, coordinate medical leave accommodations, and address employee concerns or leave-related grievances with professionalism and accuracy
...",not sure,
Records Specialist - HR,2025-11-25,https://jobright.ai/jobs/info/69261cb727bf2f41a2c43700?utm_source=1100&utm_campaign=Human Resources,On Site,"Charlotte, NC",City of Charlotte,5001-10000,"Government,Non Profit",$28-$36 /hr,"1. High School Graduate or General Educational Development (GED)
2. Knowledge of police records management procedures, terminology, and workflows
3. Knowledge of local, state, and federal laws governing public records, records retention, confidentiality, and data privacy
4. Skill in conducting internal audits, identifying discrepancies, and resolving data or documentation errors
5. Computer proficiency, including comfort working with common date-entry, document management, and basic data-organization tools.
...",not sure,
Assistant Dental Office Manager,2025-11-25,https://jobright.ai/jobs/info/69261c6d27bf2f41a2c436bd?utm_source=1100&utm_campaign=Human Resources,On Site,"Multi Location
Clarksville, IN
Brooksville, FL
Tulsa, OK
Charlotte, NC
Overland Park, KS
Bessemer, AL",Aspen Dental,10000+,"Dental,Health Care",$19-$21 /hr,"1. Provide superior patient service with compassion and care in accordance with patient needs, company policies and procedures, government regulations, and dental board standards
2. Work collaboratively with other members of the dental team to provide exceptional patient care
3. Consult with patients on treatment options provided by clinical team, verifying insurance payment and collection ensuring high quality of care
4. Under the direction of the Manager, supervise and reinforce the daily tasks and priorities of the non-clinical team
5. Review data day to day to evaluate the impact on the practice
...",not sure,
