Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
1:1 Aide,2025-11-25,https://jobright.ai/jobs/info/6926262027bf2f41a2c43d2c?utm_source=1100&utm_campaign=Education and Training,On Site,"Philadelphia, PA","Specialized Education Services, Inc.",,"Education,Secondary Education",$16-$18 /hr,"1. High school diploma.
2. Ability to run short distances and move swiftly in response to student needs, including bending, kneeling, and crouching.
3. Ability to lift and assist students with mobility challenges, often requiring the handling of up to 50 pounds or more.
4. Skill in managing fine motor tasks, such as helping students with writing, manipulating small objects, or using adaptive devices.
5. Ability to operate a computer or tablet for up to 8 hours daily.
...",not sure,
Instructional Designer - Technology Solutions,2025-11-25,https://jobright.ai/jobs/info/692623c827bf2f41a2c43b5b?utm_source=1100&utm_campaign=Education and Training,On Site,"Chicago, IL",University of Illinois Chicago,,,$70000-$75000 /yr,"1. Master's degree in education, educational psychology, or the humanities such as history, political science, literature, journalism, communications, or philosophy AND Six (6) months of experience which included any of the following areas professional writing or editing, audiovisual design and/or production, design and/or production of evaluation tools, educational programming, curriculum development, or classroom teaching
2. OR Baccalaureate degree in education, educational psychology, or the humanities AND Eighteen (18) months of experience which included any of the following areas professional writing or editing, audiovisual design and/or production, design and/or production of evaluation tools, educational programming, curriculum development, or classroom teaching",not sure,yes
Training Coordinator,2025-11-25,https://jobright.ai/jobs/info/692622a6d47de4798ecd4cec?utm_source=1100&utm_campaign=Education and Training,On Site,"New Bedford, MA",High Point & Affiliated Organizations,101-250,"Health Care,Health Diagnostics",$29-$35 /hr,"1. Bachelor’s degree in Behavioral Health, Education, Social Services, Human Resources, or related field (or equivalent combination of experience and education).
2. Experience coordinating training, onboarding, or workforce development programs.
3. Strong organizational skills with attention to detail.
4. Excellent verbal and written communication skills.
5. Proficiency with Microsoft Office, virtual training tools (e.g., Zoom, Teams), and databases/LMS platforms.",not sure,
Student Records/Graduation Specialist,2025-11-25,https://jobright.ai/jobs/info/6926224627bf2f41a2c43a6b?utm_source=1100&utm_campaign=Education and Training,On Site,"Hyde Park, NY",The Culinary Institute of America,501-1000,"Cooking,Education",$21-$21 /hr,"1. Associate Degree.
2. One (1) to two (2) years of administrative/electronic records management work experience.
3. Ability to independently maintain data accuracy.
4. High-level analytical skills.
5. Excellent written and oral communication skills.
...",not sure,
Engagement Associate at MIT Hillel (Temporary Full-Time Spring 2026),2025-11-25,https://jobright.ai/jobs/info/690bf4934a1b456627b14ac6?utm_source=1100&utm_campaign=Education and Training,On Site,"Boston, Massachusetts, United States",Queens Hillel,1-10,,$46000-$50000 /yr,"1. 0 -3 years professional work experience
2. Bachelor's degree
3. This is an in-person role location in Cambridge, MA; remote work is not available for this position
4. Ability to connect to students -- no matter how quiet or loud they are, what their Jewish knowledge is, what their political stances, and what they think they know about Hillel.
5. Strong entrepreneurial spirit. Things may not always go according to plan and you must be willing to take risks and learn from your wins as well as your losses.
...",not sure,yes
Extra Help - Program Assistant - Technology Solutions,2025-11-25,https://jobright.ai/jobs/info/692621d4f0beb072326225f1?utm_source=1100&utm_campaign=Education and Training,Hybrid,"Chicago, IL",University of Illinois Chicago,,,$30-$35 /hr,"1. Bachelor’s degree.
2. Based on position requirements, additional education, training, and/or work experience in the area of specialization inherent to the position, may be required.",not sure,
Associate Clinical Research Coordinator,2025-11-25,https://jobright.ai/jobs/info/692620aad47de4798ecd4bff?utm_source=1100&utm_campaign=Education and Training,On Site,"Phoenix, AZ, United States",Mayo Clinic,10000+,"Biotechnology,Health Care",$26-$38.55 /hr,"1. Receives direction from principal investigator, supervisor, or other staff involved in research protocol(s).
2. Interacts with various departments within the institution.
3. Works cooperatively with other investigators and personnel at all levels.
4. Interacts with research participants, other research centers, and sponsoring companies to resolve problems and ensure efficient completion of research studies.
5. Coordinates non-therapeutic (i.e. minimal risk, survey, chart review) clinical research protocols with direction from the principal investigator and/or supervisor in compliance with regulatory laws and institutional guidelines.
...",no,
1:1 Aide,2025-11-25,https://jobright.ai/jobs/info/69261dafd47de4798ecd4b0d?utm_source=1100&utm_campaign=Education and Training,On Site,"Bucyrus, OH","Specialized Education Services, Inc.",,"Education,Secondary Education",$15-$15 /hr,"1. High school diploma.
2. Ability to run short distances and move swiftly in response to student needs, including bending, kneeling, and crouching.
3. Ability to lift and assist students with mobility challenges, often requiring the handling of up to 50 pounds or more.
4. Skill in managing fine motor tasks, such as helping students with writing, manipulating small objects, or using adaptive devices.
5. Ability to operate a computer or tablet for up to 8 hours daily.
...",not sure,
Kids Club Associate,2025-11-25,https://jobright.ai/jobs/info/6911ac8d988c2b7b4ec5609f?utm_source=1100&utm_campaign=Education and Training,Hybrid,"Multi Location
Sugar Land, TX: Williams Trace Blvd / Hwy 6
Houston, TX: Endicott Ln/Beechnut St (Meyerland)
Richmond, TX: Grand Pkwy/W Airport Rd
Houston, TX: Gillette St/Allen Pkwy
Plano, TX: US Hwy 75/E 15th St. (Collin Creek)
Cypress, TX: Grand Pkwy/FM 529 (Elyson)
Hurst, TX: NE Loop 820/Glenview Dr.
Webster, TX: Gulf Fwy/W Bay Area Blvd (Baybrook)
Houston, TX: Dunlavy St / W Gray St
Rosenberg, TX: FM 2977 Rd/FM Highway 762 Rd
Dallas, TX: Ferguson Rd/Highland Rd (Claremont)
Houston, TX Hwy 6/Loch Katrine Ln (Park Plaza)
Fort Worth, TX: Altamesa Blvd / McCart Ave
Euless, TX: Rio Grande
Katy, TX: Spring Green Blvd/FM 1463
Spring, TX: Louetta Rd./Stuebner
Plano, TX: Preston Rd / W Parker Rd",EōS Fitness,1001-5000,"Fitness,Health Care",$10-$11 /hr,"1. 1 year in a supervisory role, previous experience in childcare, daycare, or recreational programming.
2. Knowledge of child development principles, safety guidelines, and regulatory requirements for childcare facilities.
3. Passion for working with children and creating a nurturing and enriching environment for their growth and development.
4. Strong communication skills, both verbal and written, with the ability to interact effectively with children, parents, and staff.
5. Flexibility to work evenings and weekends as needed to accommodate Kids Club operating hours.
...",not sure,
Group Leader,2025-11-25,https://jobright.ai/jobs/info/69261c94d47de4798ecd4a75?utm_source=1100&utm_campaign=Education and Training,On Site,"Multi Location
Laurelton, NY
New York, NY
Queens, NY
Jamaica, NY",The Child Center of NY,1001-5000,Non Profit,$18-$18 /hr,"1. High School Diploma or GED.
2. Must have content specific experience (i.e.sports, arts, literacy, etc.).
3. Proficient in Microsoft Office.
4. Experience working with children.
5. Ability to plan and carry out assignments independently.
...",not sure,
Academic Advisor I - First Year Engineering,2025-11-25,https://jobright.ai/jobs/info/69261b15f0beb07232622144?utm_source=1100&utm_campaign=Education and Training,On Site,"Arlington, TX",Excel Campus Activities,1-10,,"$0-$43,000 /mon","1. Bachelor’s degree in a related field.
2. Federal, state, and local policies and procedures governing academic advising functions; and resources provided by academic advising associations such as NACADA and TEXAAN.
3. A working knowledge and ability to use the University Catalog is essential.
4. Written and verbal interpersonal communication; organizing information; problem solving; adhering to deadlines and time management; taking initiative; outreach; and navigating student information systems.
5. Work professionally, collaboratively, and independently; and proficiently use Microsoft Office Programs such as Word, Excel, PowerPoint, Teams, SharePoint.
...",not sure,
Preparatory Academy for Writers - Group Leader,2025-11-25,https://jobright.ai/jobs/info/69261a44f0beb072326220a0?utm_source=1100&utm_campaign=Education and Training,On Site,"Laurelton, NY",The Child Center of NY,1001-5000,Non Profit,$18-$18 /hr,"1. High School Diploma or GED.
2. Must have content specific experience (i.e. sports, arts, literacy, etc.).
3. Proficient in Microsoft Office.
4. Experience working with children.
5. Ability to plan and carry out assignments independently.
...",not sure,
CUPE-SCFP_Fall 2025_NUT2103 A,2025-11-25,https://jobright.ai/jobs/info/6926174127bf2f41a2c433df?utm_source=1100&utm_campaign=Education and Training,On Site,"Multi Location
200 Lees - FHS
Lees Campus",uOttawa | Carrières - Careers,1-10,,$31.89-$50.25 /hr,"1. Completed Honours Bachelor in Food and Nutrition Sciences or related field.
2. Laboratory experience.
3. Good analytical skills.
4. Excellent written and spoken English.",not sure,
Behavior Support Technician,2025-11-25,https://jobright.ai/jobs/info/69261656d47de4798ecd4610?utm_source=1100&utm_campaign=Education and Training,On Site,"Kingston, PA","Specialized Education Services, Inc.",,"Education,Secondary Education",,1. High school diploma.,not sure,
Overnight Awake Counselor - Brain Injury Services,2025-11-25,https://jobright.ai/jobs/info/69261647d47de4798ecd4603?utm_source=1100&utm_campaign=Education and Training,On Site,Braintree,Eliot Community Human Services,501-1000,"Communities,Facilities Support Services",$20-$20 /hr,"1. Requires a high school diploma
2. Experience working with adults with brain injuries or developmental disabilities
3. Valid Massachusetts Drivers License",not sure,
LICENSING PROGRAM ANALYST,2025-11-25,https://jobright.ai/jobs/info/692614b627bf2f41a2c4333a?utm_source=1100&utm_campaign=Education and Training,On Site,"Multi Location
Sacramento, CA
Alameda, CA",California Department of Social Services,5001-10000,Non Profit,$3938-$7351 /mon,"1. Under the supervision of the Licensing Program Manager I in the Sacramento Child Care Office, the Child Care Licensing Program Analyst (LPA) is responsible for a full range of licensing duties which may include: develop and implement orientations, training programs; review applications; recommend license approval/denial; perform on-site facility evaluations; investigate complaints in licensed and unlicensed facilities; recommend and prepare administrative actions to deny, revoke, and suspend facility licenses.
2. Subject to fingerprinting and criminal record clearance by DOJ/FBI.
3. This position requires lifting and carrying up to 25 pounds, climbing stairs, sitting for extended periods and using a computer and keyboard.
4. Must be able to travel.
5. This position is designated under the Conflict of Interest Code.
...",no,
Psychologist - Behavioral Health,2025-11-25,https://jobright.ai/jobs/info/6926147727bf2f41a2c43314?utm_source=1100&utm_campaign=Education and Training,On Site,"Denver, CO",Denver Health,10000+,"Health Care,Hospital","$112,500-$134,400 /yr","1. Doctorate Degree in psychology from an accredited school
2. 1-3 years One year of postdoctoral experience
3. PSY-Licensed Psychologist - State Board of Psychologist Examiners
4. BLS-Basic Life Support (BLS/CPR) - AHA - American Heart Association
5. Advanced knowledge and skills in effective psychological practice in primary care medical settings, including evidence-based, brief therapy modalities, crisis intervention, and risk assessment.
...",not sure,
Academic Advisor I - First Year Engineering,2025-11-25,https://jobright.ai/jobs/info/6926140ad47de4798ecd441a?utm_source=1100&utm_campaign=Education and Training,On Site,"Arlington, TX",Excel Campus Activities,1-10,,$43000-$43000 /mon,"1. Bachelor’s degree in a related field.
2. Federal, state, and local policies and procedures governing academic advising functions; and resources provided by academic advising associations such as NACADA and TEXAAN.
3. A working knowledge and ability to use the University Catalog is essential.
4. Written and verbal interpersonal communication; organizing information; problem solving; adhering to deadlines and time management; taking initiative; outreach; and navigating student information systems.
5. Work professionally, collaboratively, and independently; and proficiently use Microsoft Office Programs such as Word, Excel, PowerPoint, Teams, SharePoint.
...",not sure,
Program Specialist,2025-11-25,https://jobright.ai/jobs/info/68f17a0def766b3f0fd0e827?utm_source=1100&utm_campaign=Education and Training,On Site,"Philadelphia, PA",Playworks,501-1000,Non Profit,$56600-$56600 /yr,"1. Proven ability to train adult participants with an empathetic and high-energy approach.
2. Experience building relationships with communities and community members representing various backgrounds, identities, and ideologies.
3. Demonstrated experience leading both large and small student groups from grades K-8.
4. Demonstrated ability to authentically engage and empower both youth and adults in various settings.
5. Ability to set clear goals and follow through with flexible and creative problem-solving tools.
...",not sure,
Student Financial Aid Coordinator I (Federal Programs),2025-11-25,https://jobright.ai/jobs/info/69263ffdf0beb072326237a5?utm_source=1100&utm_campaign=Education and Training,On Site,"Gainesville, FL",University of Florida,10000+,Higher Education,$43888-$43888 /yr,1. Bachelor's degree; or an equivalent combination of education and experience.,not sure,
Academic Administrative Assistant,2025-11-25,https://jobright.ai/jobs/info/691f940d09cc522e877433c1?utm_source=1100&utm_campaign=Education and Training,On Site,"Concord, CA",Unitek Learning,501-1000,"Education,Health Care",$24-$27 /hr,"1. High school or equivalent certificate
2. Ability to maintain records
3. Willing to learn & maintain information on Microsoft Excel and Microsoft Word
4. Ability to multi-tasks simultaneously
5. Must be capable of communicating effectively verbally and in writing
...",not sure,
5-8th Grade Science Teacher,2025-11-25,https://jobright.ai/jobs/info/69264d7bd47de4798ecd6362?utm_source=1100&utm_campaign=Education and Training,On Site,East Academy,ACCEL Schools,501-1000,,"$40,000-$49,500 /yr","1. Active and current state of Ohio teaching license in appropriate content area
2. Bachelor’s degree in education or related field
3. High level of comfort working in a growth-focused coaching environment based on frequent observations, debriefs, action planning, and progress monitoring
4. Excellent written and verbal communication skills
5. Ability to properly manage confidential information
...",not sure,
Assistant Teacher,2025-11-25,https://jobright.ai/jobs/info/68d461198c62e63bc7fe8c53?utm_source=1100&utm_campaign=Education and Training,On Site,"Multi Location
Lynnwood, WA
Folsom, CA",Guidepost Montessori,251-500,"Education,Primary Education",$17-$23 /hr,1. Experience working with children ages 3-6 in a school setting,not sure,
Daily Substitute Teacher,2025-11-25,https://jobright.ai/jobs/info/69260e1ed47de4798ecd402a?utm_source=1100&utm_campaign=Education and Training,On Site,"Multi Location
Wright Preparatory Academy
Bridges Preparatory Academy
Montgomery Preparatory Academy
Riverside Academy
Mount Auburn Preparatory Academy
Springfield, Ohio, United States
East Academy
Lake Erie Bilingual Academy
Broadway Academy at Mount Pleasant
Canton College Preparatory School
Monroe Preparatory Academy
Solon Academy
Northside Preparatory Academy",ACCEL Schools,501-1000,,$130-$130 /d,"1. Active and current state of Ohio teaching license in appropriate content area
2. Bachelor’s degree in education or related field
3. High level of comfort working in a growth-focused coaching environment based on frequent observations, debriefs, action planning, and progress monitoring
4. Excellent written and verbal communication skills
5. Ability to properly manage confidential information
...",not sure,
Assistant Director of International Admissions,2025-11-25,https://jobright.ai/jobs/info/691b613a15b415636718e760?utm_source=1100&utm_campaign=Education and Training,On Site,"Muncie, IN",Ball State University - People & Culture,1-10,,$45000-$50000 /yr,"1. Bachelor’s degree from an accredited college and/or university by time of appointment.
2. At least one year of work experience in education or related.
3. Strong organizational, interpersonal, and communication skills (written and oral) with a customer service orientation.
4. Demonstrated and strong commitment to the mission of the University.
5. Ability to speak before large groups or audiences.
...",no,
Academic Reporting and Assessment Analyst,2025-11-25,https://jobright.ai/jobs/info/69262eaaf0beb07232622e34?utm_source=1100&utm_campaign=Education and Training,On Site,"Bel Air, MD",APGFCU Arena at Harford Community College,11-50,"Communities,Events",$54K-$70K /yr,"1. Associate’s Degree
2. A minimum of 1 year of related professional experience in a higher education setting is required, including statistical research, data extraction and analysis, and report creation.
3. Experience analyzing higher education data and working with complex institutional datasets
4. Skill in extracting, merging, cleaning, and transforming data from multiple databases for analysis and reporting
5. Knowledge of quantitative and qualitative research methods and their appropriate applications
...",no,
Clinical Research Coordinator,2025-11-25,https://jobright.ai/jobs/info/69260a45d47de4798ecd3d6c?utm_source=1100&utm_campaign=Education and Training,On Site,"Kelowna, British Columbia, Canada",Headlands Research,101-250,"Biotechnology,Health Care",$65000-$75000 /yr,"1. Bachelor’s degree in a health or scientific related program.
2. Relevant clinical research knowledge is an asset.
3. Good Clinical Practice, Dangerous Goods and TCPS training is an asset.
4. Proficiency with Microsoft Office suite and data entry.
5. Excellent verbal and written communication skills.
...",not sure,
Instructional Design Specialist (LMS Coordinator),2025-11-25,https://jobright.ai/jobs/info/692609f527bf2f41a2c42c62?utm_source=1100&utm_campaign=Education and Training,Remote,"Multi Location
Remote Worker
Fully Remote","Sherpa 6, Inc.",51-100,"Information Technology,Software","$85,000-$125,000 /yr","1. Bachelor’s degree in Instructional Design, Education, Learning Technologies, or a related field (or equivalent experience)
2. Demonstrable experience with instructional design methodologies (ADDIE, SAM)
3. Excellent writing, editing, and organizational skills for developing and reviewing learning content
4. Familiarity with basic multimedia production (scripting, storyboarding, coordinating media assets)
5. Ability to interpret feedback and make rapid, high-quality revisions
...",no,
International Student Advisor,2025-11-25,https://jobright.ai/jobs/info/6926070cd47de4798ecd3b29?utm_source=1100&utm_campaign=Education and Training,Hybrid,Wellesley MA,Babson College,1001-5000,,$37500-$41665 /yr,"1. Bachelor’s degree
2. Must be U.S. Citizen or Lawful U.S. Permanent Resident to meet federal regulatory requirements for professional practice as a Designated School Official (DSO) or Alternate Responsible Officer (ARO).
3. Must have a minimum of 1-3 years in higher education with preference for international student/scholar services or related experience.
4. Demonstrated ability to work in multicultural and international community.
5. Must have strong technology skills including proficiency in Microsoft Office Suite/365.
...",no,
Marketing Training Specialist,2025-11-25,https://jobright.ai/jobs/info/6926043ff0beb072326212af?utm_source=1100&utm_campaign=Education and Training,Hybrid,"Multi Location
San Ramon, California
Baltimore, Maryland
Baltimore, MD
San Ramon, CA",CMG Financial,501-1000,"Banking,Mortgage",$26.50-$31.25 /hr,"1. Background in training, onboarding, or client service roles.
2. Comfortable juggling multiple priorities in a fast-paced environment.
3. Experience in customer service.
4. Microsoft Office tools (Excel, Word, Power Point, Outlook)
5. Strong problem-solving, and analytical skills
...",not sure,
ABA - Behavior Technician - Bedford-Stuyvesant,2025-11-25,https://jobright.ai/jobs/info/692631b527bf2f41a2c44418?utm_source=1100&utm_campaign=Education and Training,On Site,"Bedford-Stuyvesant, New York",Lighthouse ABA,51-100,,$25-$35 /hr,1. Candidates must have a high school diploma or equivalent,not sure,
ABA - Behavior Technician - (Russian Speaking)  Homecrest,2025-11-25,https://jobright.ai/jobs/info/69263f9527bf2f41a2c44c09?utm_source=1100&utm_campaign=Education and Training,On Site,"Sheepshead Bay, New York",Lighthouse ABA,51-100,,$25-$28 /yr,1. Candidates must have a high school diploma or equivalent,not sure,
